School ID,School Name,School Network,School Year,Time Period1,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
400010,ACE TECHNICAL CHARTER HS,Network - Charter/Contract,2011-2012,EOY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0.21
609772,ADDAMS,ES Network - Lake Calumet,2011-2012,EOY,31,7,24,0,29,93.5,10,32.3,1.08,10,1.1,2,19,61.3,2.05,16,1.7,2.26,4,12.9,0.43,4,0.4,0,0
609772,ADDAMS,ES Network - Lake Calumet,2012-2013,EOY,30,7,18,5,28,93.3,18,60,2.02,17,1.9,1.44,10,33.3,1.12,10,1.1,2.5,1,3.3,0.11,1,0.1,0,0
609772,ADDAMS,Network 13,2013-2014,S1,8,1,7,0,6,75,2,25,0.23,2,0.2,1.5,4,50,0.46,4,0.5,1,0,0,0,0,0,0,0
609772,ADDAMS,Network 13,2013-2014,EOY,12,1,9,2,10,83.3,6,50,0.69,6,0.7,2,4,33.3,0.46,4,0.5,1,0,0,0,0,0,0,0
609772,ADDAMS,Network 13,2014-2015,S1,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609772,ADDAMS,Network 13,2014-2015,EOY,24,4,17,3,8,33.3,8,33.3,0.91,8,0.9,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
609773,AGASSIZ,ES Network - Ravenswood-Ridge,2011-2012,EOY,53,24,24,5,50,94.3,34,64.2,7.93,23,5.4,1.15,16,30.2,3.73,9,2.1,2.63,0,0,0,0,0,0,0
609773,AGASSIZ,ES Network - Ravenswood-Ridge,2012-2013,EOY,77,31,35,11,56,72.7,25,32.5,5.52,18,4,1.16,32,41.6,7.07,16,3.5,2.72,2,2.6,0.44,1,0.2,0,0
609773,AGASSIZ,Network 4,2013-2014,S1,31,9,21,1,10,32.3,7,22.6,1.46,6,1.3,1,3,9.7,0.63,2,0.4,3,0,0,0,0,0,0,0
609773,AGASSIZ,Network 4,2013-2014,EOY,63,19,43,1,40,63.5,23,36.5,4.82,17,3.6,1.09,19,30.2,3.98,13,2.7,1.47,1,1.6,0.21,1,0.2,0,0
609773,AGASSIZ,Network 4,2014-2015,S1,29,7,19,3,10,34.5,6,20.7,1.2,6,1.2,1.5,6,20.7,1.2,5,1,1.33,1,3.4,0.2,1,0.2,0,0
609773,AGASSIZ,Network 4,2014-2015,EOY,52,16,33,3,21,40.4,13,25,2.6,13,2.6,1.31,11,21.2,2.2,8,1.6,1.18,1,1.9,0.2,1,0.2,0,0
610513,AIR FORCE HS,HS Network - Southwest Side,2011-2012,EOY,436,162,265,9,104,23.9,51,11.7,17.27,38,12.9,1.02,53,12.2,17.95,36,12.2,3.11,5,1.1,1.69,5,1.7,1,0.34
610513,AIR FORCE HS,HS Network - Southwest Side,2012-2013,EOY,768,363,375,30,289,37.6,219,28.5,56.96,123,32,1.01,70,9.1,18.21,44,11.4,3.5,28,3.6,7.28,23,6,0,0
610513,AIR FORCE HS,Military,2013-2014,S1,124,44,62,18,52,41.9,12,9.7,3.36,11,3.1,1,41,33.1,11.46,36,10.1,3.1,6,4.8,1.68,6,1.7,0,0
