,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
0,2010-2011,400018,AUSTIN BUS & ENTRP CONTR HS,A101,*,,A101
1,2010-2011,400018,AUSTIN BUS & ENTRP CONTR HS,A102,*,,A102
2,2010-2011,400022,CHGO ARTS CONTR HS,A103,*,,A103
3,2010-2011,400040,FRAZIER CONTR,A104,*,,A104
4,2010-2011,400043,HOPE CONTR ES,A110,*,,A110
5,2010-2011,400068,PLATO CONTR,A201,*,,A201
6,2010-2011,400091,CHGO ADV CONTR HS,A202,*,,A202
7,2010-2011,400095,GARFIELD PARK CONTR,A203,*,,A203
8,2010-2011,400095,GARFIELD PARK CONTR,A210,*,,A210
9,2010-2011,400095,GARFIELD PARK CONTR,A301,*,,A301
10,2010-2011,609674,CHICAGO VOCATIONAL HS,A302,*,,A302
11,2010-2011,609674,CHICAGO VOCATIONAL HS,A304,*,,A304
12,2010-2011,609676,DUNBAR HS,A305,*,,A305
13,2010-2011,609676,DUNBAR HS,A310,*,,A310
14,2010-2011,609678,JONES HS,A311,*,,A311
15,2010-2011,609678,JONES HS,A401,*,,A401
16,2010-2011,609678,JONES HS,A410,*,,A410
17,2010-2011,609678,JONES HS,A411,*,,A411
18,2010-2011,609678,JONES HS,A412,*,,A412
19,2010-2011,609678,JONES HS,,*,,
20,2010-2011,609678,JONES HS,A300,*,,A300
21,2010-2011,609678,JONES HS,A301,*,,A301
22,2010-2011,609679,PROSSER HS,A302,*,,A302
23,2010-2011,609679,PROSSER HS,A303,*,,A303
24,2010-2011,609679,PROSSER HS,A304,*,,A304
25,2010-2011,609679,PROSSER HS,A305,*,,A305
26,2010-2011,609679,PROSSER HS,A306,*,,A306
27,2010-2011,609679,PROSSER HS,A401,*,,A401
28,2010-2011,609679,PROSSER HS,A402,*,,A402
29,2010-2011,609679,PROSSER HS,A403,*,,A403
30,2010-2011,609680,PAYTON HS,A404,*,,A404
31,2010-2011,609680,PAYTON HS,A406,*,,A406
32,2010-2011,609680,PAYTON HS,,*,,
33,2010-2011,609680,PAYTON HS,A110,*,,A110
34,2010-2011,609680,PAYTON HS,A211,*,,A211
35,2010-2011,609680,PAYTON HS,A213,*,,A213
36,2010-2011,609680,PAYTON HS,A310,*,,A310
37,2010-2011,609680,PAYTON HS,,*,,
38,2010-2011,609682,RICHARDS HS,Dolphin,*,,Dolphin
39,2010-2011,609691,NORTH-GRAND HS,M/Easte,*,,M/Easte
40,2010-2011,609692,SIMEON HS,,*,,
41,2010-2011,609692,SIMEON HS,,*,,
42,2010-2011,609692,SIMEON HS,A105,*,,A105
43,2010-2011,609692,SIMEON HS,A106,*,,A106
44,2010-2011,609692,SIMEON HS,A107,*,,A107
45,2010-2011,609692,SIMEON HS,A113,*,,A113
46,2010-2011,609692,SIMEON HS,A114,*,,A114
47,2010-2011,609692,SIMEON HS,A201,*,,A201
48,2010-2011,609692,SIMEON HS,A202,*,,A202
49,2010-2011,609693,WESTINGHOUSE HS,A206,*,,A206
50,2010-2011,609693,WESTINGHOUSE HS,A207,*,,A207
51,2010-2011,609693,WESTINGHOUSE HS,,*,,
52,2010-2011,609693,WESTINGHOUSE HS,8,*,,301
53,2010-2011,609695,AMUNDSEN HS,8,*,,302
54,2010-2011,609695,AMUNDSEN HS,8,*,,303
55,2010-2011,609695,AMUNDSEN HS,8,*,,304
